[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[12:52:31] GPU2: util=100% mem=33769MiB free=11616MiB | nb84=3076MiB
[12:52:31] 🟢 Training aktif (util=100%)
[12:53:32] GPU2: util=3% mem=34337MiB free=11048MiB | nb84=3076MiB
[12:54:32] GPU2: util=3% mem=34337MiB free=11048MiB | nb84=3076MiB
[12:55:32] GPU2: util=17% mem=34337MiB free=11048MiB | nb84=3076MiB
[12:56:33] GPU2: util=100% mem=34337MiB free=11048MiB | nb84=3076MiB
[12:56:33] 🟢 Training aktif (util=100%)
[12:57:33] GPU2: util=4% mem=34351MiB free=11034MiB | nb84=3076MiB
[12:58:34] GPU2: util=19% mem=34383MiB free=11002MiB | nb84=3076MiB
[12:59:34] GPU2: util=8% mem=34383MiB free=11002MiB | nb84=3076MiB
[13:00:34] GPU2: util=19% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:01:34] GPU2: util=9% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:02:35] GPU2: util=24% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:03:35] GPU2: util=50% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:03:35] 🟢 Training aktif (util=50%)
[13:04:36] GPU2: util=3% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:05:36] GPU2: util=4% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:06:37] GPU2: util=4% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:07:38] GPU2: util=4% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:08:38] GPU2: util=16% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:09:39] GPU2: util=17% mem=34389MiB free=10996MiB | nb84=3082MiB
[13:10:40] GPU2: util=5% mem=34319MiB free=11066MiB | nb84=3082MiB
[13:11:40] GPU2: util=21% mem=34321MiB free=11064MiB | nb84=3082MiB
[13:12:41] GPU2: util=3% mem=34321MiB free=11064MiB | nb84=3082MiB
[13:13:41] GPU2: util=13% mem=34321MiB free=11064MiB | nb84=3082MiB
[13:14:42] GPU2: util=22% mem=34321MiB free=11064MiB | nb84=3082MiB
[13:15:43] GPU2: util=19% mem=34321MiB free=11064MiB | nb84=3082MiB
[13:16:44] GPU2: util=4% mem=34321MiB free=11064MiB | nb84=3082MiB
[13:17:45] GPU2: util=3% mem=34327MiB free=11058MiB | nb84=3082MiB
[13:18:46] GPU2: util=18% mem=34327MiB free=11058MiB | nb84=3082MiB
[13:19:46] GPU2: util=6% mem=34327MiB free=11058MiB | nb84=3082MiB
[13:20:46] GPU2: util=6% mem=34327MiB free=11058MiB | nb84=3082MiB
[13:21:47] GPU2: util=3% mem=34327MiB free=11058MiB | nb84=3082MiB
[13:22:47] GPU2: util=20% mem=34311MiB free=11074MiB | nb84=3082MiB
[13:23:48] GPU2: util=13% mem=34331MiB free=11054MiB | nb84=3086MiB
[13:24:48] GPU2: util=6% mem=34331MiB free=11054MiB | nb84=3086MiB
[13:25:48] GPU2: util=6% mem=34331MiB free=11054MiB | nb84=3086MiB
[13:26:50] GPU2: util=3% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:27:50] GPU2: util=6% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:28:51] GPU2: util=6% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:29:52] GPU2: util=6% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:30:53] GPU2: util=6% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:31:53] GPU2: util=3% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:32:54] GPU2: util=6% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:33:55] GPU2: util=21% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:34:55] GPU2: util=17% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:35:56] GPU2: util=31% mem=35025MiB free=10360MiB | nb84=3780MiB
[13:36:57] GPU2: util=8% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:37:58] GPU2: util=15% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:38:59] GPU2: util=6% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:39:59] GPU2: util=21% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:41:00] GPU2: util=3% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:42:00] GPU2: util=3% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:43:01] GPU2: util=18% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:44:01] GPU2: util=18% mem=35031MiB free=10354MiB | nb84=3788MiB
[13:45:02] GPU2: util=19% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:46:02] GPU2: util=18% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:47:03] GPU2: util=21% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:48:04] GPU2: util=21% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:49:05] GPU2: util=17% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:50:06] GPU2: util=20% mem=35033MiB free=10352MiB | nb84=3788MiB
[13:51:06] GPU2: util=6% mem=34991MiB free=10394MiB | nb84=3788MiB
[13:52:06] GPU2: util=85% mem=35017MiB free=10368MiB | nb84=3788MiB
[13:52:06] 🟢 Training aktif (util=85%)
